ntraial move_ratio     potn
76464     0.4537  -3.852959

76572     0.5740  -3.845921

76680     0.4537  -3.824032

76788        0.5  -3.829347

76896     0.4907  -3.874961

77004        0.5  -3.850333

77112     0.4814  -3.880458

77220     0.5185  -3.931847

77328        0.5  -3.906853

77436     0.4722  -3.862374

77544     0.5092  -3.735965

77652     0.4444  -3.725057

77760     0.4629  -3.697299

77868     0.4537  -3.689140

77976     0.5277  -3.748745

78084     0.5370  -3.668878

78192     0.5648  -3.708599

78300     0.4166  -3.740067

78408     0.4907  -3.781924

78516     0.4907  -3.802264

78624     0.4537  -3.930235

78732     0.5462  -3.817019

78840     0.5555  -3.843930

78948     0.4907  -3.867923

79056     0.4629  -3.907264

79164     0.5092  -3.933131

79272     0.5648  -3.881229

79380     0.5740  -3.964502

79488     0.4722  -3.974984

79596     0.4074  -3.838966

79704     0.6018  -3.941767

79812     0.4444  -3.947695

79920     0.5092  -3.926601

80028     0.6481  -3.869368

80136     0.3611  -3.918635

80244     0.4629  -3.928928

80352     0.4907  -3.988459

80460     0.4259  -3.983410

80568        0.5  -3.937672

80676     0.5092  -3.959355

80784     0.3703  -3.913182

80892     0.5648  -3.895678

81000     0.5092  -3.924487

81108     0.5648  -3.905142

81216     0.4907  -3.859364

81324     0.5555  -3.830536

81432     0.4629  -3.843261

81540     0.4166  -3.767613

81648     0.4629  -3.834353

81756     0.4722  -3.763841

81864     0.4629  -3.810020

81972     0.4907  -3.846650

82080     0.4537  -3.881988

82188     0.5092  -3.814818

82296     0.5370  -3.856776

82404        0.5  -3.819217

82512     0.4351  -3.871065

82620     0.4166  -3.888012

82728     0.3796  -3.966704

82836     0.5370  -3.960677

82944     0.5185  -3.878692

83052     0.5740  -3.827910

83160     0.5555  -3.795750

83268     0.4537  -3.813021

83376     0.5185  -3.790557

83484     0.5092  -3.869923

83592     0.5740  -3.803479

83700        0.5  -3.803601

83808     0.5092  -3.766046

83916     0.4074  -3.844305

84024     0.5740  -3.906746

84132     0.4537  -3.891985

84240     0.4259  -3.898323

84348     0.3888  -3.846438

84456     0.4907  -3.853305

84564     0.4444  -3.870086

84672     0.4629  -3.830214

84780     0.4351  -3.918965

84888     0.6296  -3.718681

84996     0.5648  -3.774871

85104     0.5740  -3.801467

85212     0.4814  -3.747403

85320     0.5555  -3.843797

85428     0.4444  -3.908641

85536     0.4629  -3.836432

85644     0.4907  -3.784599

85752     0.5092  -3.767326

85860     0.3796  -3.729294

85968     0.5277  -3.749753

86076     0.4814  -3.738085

86184     0.5462  -3.770236

86292     0.4814  -3.817713

86400     0.5370  -3.826491

86508     0.6203  -3.878693

86616     0.5370  -3.866848

86724     0.5555  -3.974220

86832        0.5  -3.957590

86940     0.5277  -3.969486

87048     0.5740  -3.933913

87156     0.4444  -3.964092

87264     0.3796  -3.951324

87372     0.5740  -3.939327

87480        0.5  -3.880898

87588     0.5833  -3.891836

87696     0.4351  -3.849975

87804     0.4166  -3.900717

87912     0.5370  -3.942410

88020     0.5092  -3.940207

88128     0.4907  -4.025829

88236     0.4722  -3.956821

88344     0.4351  -3.904995

88452     0.5462  -3.896574

88560     0.5370  -3.945634

88668     0.5648  -3.945644

88776     0.4907  -3.938454

88884     0.5555  -3.910105

88992     0.4629  -3.918798

89100     0.4907  -3.893180

89208     0.4444  -3.920286

89316     0.6388  -3.856190

89424     0.5185  -3.961593

89532        0.5  -3.960635

89640     0.4814  -3.995119

89748     0.5462  -3.816833

89856     0.4629  -3.845404

89964     0.5092  -3.830231

90072     0.5092  -3.828643

90180     0.5185  -3.897445

90288     0.5185  -3.845230

90396     0.5555  -3.837386

90504     0.4444  -3.819982

90612     0.5833  -3.804613

90720     0.5370  -3.854510

90828        0.5  -3.814335

90936     0.4444  -3.874211

91044     0.5092  -3.935108

91152     0.4444  -3.947831

91260     0.5648  -3.894035

91368     0.5092  -3.900827

91476     0.4629  -3.893808

91584     0.4907  -3.858864

91692        0.5  -3.825630

91800        0.5  -3.788568

91908     0.5185  -3.830295

92016     0.5555  -3.792961

92124     0.4629  -3.839806

92232     0.4351  -3.860663

92340     0.4907  -3.873660

92448     0.4722  -3.864320

92556     0.4351  -3.863590

92664     0.5370  -3.941195

92772     0.4537  -3.845786

92880     0.5185  -3.760014

92988     0.5833  -3.752075

93096     0.5462  -3.700807

93204     0.4814  -3.712279

93312     0.5277  -3.679456

93420        0.5  -3.688531

93528     0.4907  -3.805591

93636     0.5185  -3.805489

93744        0.5  -3.825025

93852     0.5370  -3.798439

93960     0.4907  -3.882890

94068     0.5277  -3.886448

94176     0.5740  -3.875912

94284     0.4537  -3.899779

94392     0.4444  -3.915145

94500     0.4814  -3.929932

94608     0.5277  -3.907885

94716     0.4722  -3.864901

94824     0.5092  -3.807091

94932     0.4444  -3.835003

95040     0.5462  -3.892440

95148     0.5092  -3.915352

95256        0.5  -3.866039

95364     0.4722  -3.811392

95472     0.5092  -3.703917

95580     0.5185  -3.859926

95688     0.4074  -3.873223

95796     0.4722  -3.954689

95904     0.4259  -3.917731

96012     0.5555  -3.950160

96120     0.4444  -3.858629

96228     0.5740  -3.849764

96336     0.5555  -3.788077

96444     0.5277  -3.895293

96552     0.3611  -3.880699

96660     0.4814  -3.986361

96768     0.5277  -3.937467

96876     0.4907  -3.874801

96984     0.4444  -3.908874

97092     0.5370  -3.909310

97200     0.5185  -3.923972

97308     0.5833  -4.018543

97416     0.6111  -4.030247

97524     0.5092  -3.899160

97632     0.4722  -3.877443

97740     0.4351  -3.876254

97848     0.4814  -3.910319

97956        0.5  -3.753040

98064     0.4629  -3.858032

98172     0.4907  -3.865759

98280     0.5555  -3.871684

98388        0.5  -3.898233

98496     0.5648  -3.750883

98604     0.4814  -3.783365

98712     0.4814  -3.862829
